και	c e
σωσίας	s o s ì a s
σωστοη	s o s t o i
σύλλογο…	s ì l o ɣ o s …
σύσμιση	s ì s m i s i
σαρεσει	s a r e s i
σαυτήνανε	s a f t ì n a n e
σκώνω	s k ò n o
τ'	t '
τ'άλλα	t ' à l a
τ'αδέλφια	t ' a ð è l f i/j a
τ'αεροπλάνα	t ' a e r o p l à n a
τ'απογευματινά	t ' a p o ʝ e v m a t i n à
τ'ολυμπιακού	t ' o l i b i/j a k ù
τάλλομας	t à l o m a s
τάξι	t à k s i
τέζα	t è z a
τέλειωσεν	t è l i o s e n
τέμπλα	t è b l a
τέρμιναλ	t è r m i n a l
τέσσερά	t è s e r à
τέσσερα-μισάρι	t è s e r a - i s à r i
τέσσερω…τρίω	t è s e r o … t r ì o
τέταρτή	t è t a r t ì
τέτοια…	t è t i a s …
τήραξε	t ì r a k s e
τίποτ'	t ì p o t '
τίποτααμέσως	t ì p o t a a m è s o s
τίποταλλο	t ì p o t a l o
τα'δινα	t a ' ð i n a
τα'στατόρια	t a ' s t a t ò r i/j a
τα'χαν	t a ' x a n
τα---	t a - - -
τατο	t a t o
ταχουν	t a x u n
ταγκάρ	t a g à r
ταιδεψαμε	t e ð e p s a m e
ταιριάζουμε	t e r ʝ à z u m e
ταισουν	t e s u n
τακη	t a c i
τακορίτσα	t a k o r ì t s a
τακτικα	t a k t i k a
τακτοποιηθείς	t a k t o p i i θ ì s
τακτοποιηθούμε	t a k t o p i i θ ù m e
ταλαιπωρήθηκαν	t a l e p o r ì θ i k a n
ταλαιπωρηθηκαθελουνε	t a l e p o r i θ i k a θ e l u n e
ταλαιπωρια	t a l e p o r i/j a
ταλαιπώριες	t a l e p ò r i/j e s
ταλόν	t a l ò n
ταμιας	t a m i/j a s
τανάκια	t a n à c a
ταξί-	t a k s ì -
ταξίδι-	t a k s ì ð i -
ταξητην	t a k s i t i n
ταξιδευα	t a k s i ð e v a
ταξιδευουμε	t a k s i ð e v u m e
ταξιδεψω	t a k s i ð e p s o
ταξιδεύαν	t a k s i ð è v a n
ταξιδιου	t a k s i ð i/j u
ταξιδιωτικο	t a k s i ð i/j o t i k o
ταξις	t a k s i s
ταχτοποιήθηκαν	t a x t o p i ì θ i k a n
ταϊσανε	t a i s a n e
ταϋγετου	t a i ʝ e t u
ταγγόνια	t a g ò ɲ a
ταστελνα	t a s t e l n a
τα…που	t a s … p u
τα…το	t a s … t o
τεκνοποίησα	t e k n o p ì i s a
τελείωςκαι	t e l ì o s c e
τελεβιζιο	t e l e v i z i/j o
τελειωμένα	t e l i o m è n a
τελειωνανε	t e l i o n a n e
τελειωνες	t e l i o n e s
τελειωσανε	t e l i o s a n e
τελειωσεις	t e l i o s i s
τελειωσουν	t e l i o s u n
τελειόφοιτα	t e l i ò f i t a
τελειώνανε	t e ʎ ò n a n e
τελειώσει…	t e ʎ ò s i s …
τελωνείοκι	t e l o n ì o c i
τενεκέδες	t e n e c è ð e s
τεσσεράμιση	t e s e r à m i s i
τεσσεραμισάρι	t e s e r a m i s à r i
τεσσερες	t e s e r e s
τεσσερους	t e s e r u s
τεστς	t e s t s
τετζερη	t e t z e r i
τετοιαναι	t e t i a n e
τετραγωνα	t e t r a ɣ o n a
τετραγωνο	t e t r a ɣ o n o
τετρακόσιες	t e t r a k ò s i/j e s
τετραπλάσιο	t e t r a p l à s i/j o
τεφτερι	t e f t e r i
τεχνικο	t e x n i k o
τεχνιτης	t e x n i t i s
τεχνολογικοί	t e x n o l o ʝ i c ì
τζέρις	t z è r i s
τζίβα	t z ì v a
τζαθα	t z a θ a
τζακμεν	t z a k m e n
τζερυ	t z e r i
τζινς	t z i n s
τζοστονμε	t z o s t o m e
τζωρτζη	t z o r t z i
τζώρτζη	t z ò r t z i
τησυνήθως	t i s i n ì θ o s
τηγανίζανε	t i ɣ a n ì z a n e
τηλεορασης	t i l e o r a s i s
τηλεφωνάγανε	t i l e f o n à ɣ a n e
τηλεφωνάω	t i l e f o n à o
τηλεφωνανε	t i l e f o n a n e
τηλεφωνησανε	t i l e f o n i s a n e
τηλεφωνιόμαστε	t i l e f o ɲ ò m a s t e
τηλεφωνουσες	t i l e f o n u s e s
την---	t i n - - -
τηνιακα	t i ɲ a k a
τηνιακοι	t i ɲ a c i
τηνικές	t i n i c è s
τηνος	t i n o s
την…	t i n …
τηςγιατί	t i s ʝ a t ì
της-	t i s -
τηςναι	t i n e
τικέτα	t i c è t a
τιμή…	t i m ì …
τιμολογια	t i m o l o ʝ a
τινάχτηκα	t i n à x t i k a
τιποτις	t i p o t i s
τιςπου	t i p u
τμή	t m ì
το'δωκα	t o ' ð o k a
το'χετε	t o ' ç e t e
τοποιος	t o p ç o s
τοη	t o i
τοπότε	t o p ò t e
τολαϊς	t o l a i s
τοχει	t o ç i
τοετοε	t o e t o e
τομείςκαι	t o m ì c e
τομεαειμαστε	t o m e a i m a s t e
τονίσουνε	t o n ì s u n e
τονους	t o n u s
τοποθετησω	t o p o θ e t i s o
τοροντομεχρι	t o r o d o m e x r i
τοροντοαλλα	t o r o d o a l a
τορόντο…	t o r ò d o s …
τοσος	t o s
τοτεβγηκα	t o t e v ʝ i k a
τοτεειχε	t o t e i ç e
τοτεπριν	t o t e p r i n
τοτεόταν	t o t e ò t a n
τοτελεμε	t o t e l e m e
του'πε	t u ' p e
τουειχε	t u i ç e
τουμαζευτηκαμε	t u m a z e f t i k a m e
τουκαι	t u c e
τουβλο	t u v l o
τουμπάρουνε	t u b à r u n e
τουπαντιλον	t u p a d i l o n
τουριστας	t u r i s t a s
τουριστικη	t u r i s t i c i
τουριστριαηρθα	t u r i s t r i/j a i r θ a
τουρκικος	t u r c i k o s
τουρκος	t u r k o s
τουςπολύ	t u s p o l ì
τους---	t u s - - -
τουςαισθανομουν	t u s e s θ a n o m u n
τους…μ	t u s … m
τουδινα	t u ð i n a
τοφελ	t o f e l
τούκου	t ù k u
τούρκικος	t ù r c i k o s
τοδωσα	t o ð o s a
το…βγάλαν	t o s … v ɣ à l a n
το…στο	t o s … s t o
το…του	t o s … t u
το…τώρα	t o s … t ò r a
τράκι	t r à c i
τρένακαι	t r è n a c e
τρέχαν	t r è x a n
τρίαν	t r ì a n
τρίω	t r ì o
τραβ	t r a v
τραβήξανε	t r a v ì k s a n e
τραβαγανε	t r a v a ɣ a n e
τραβηξε	t r a v i k s e
τραβιόταν	t r a v ʝ ò t a n
τραβούσαμε	t r a v ù s a m e
τραγουδάγανε	t r a ɣ u ð à ɣ a n e
τραγουδαγε	t r a ɣ u ð a ʝ e
τραγούδησεήτανε	t r a ɣ ù ð i s e ì t a n e
τρακάρανε	t r a k à r a n e
τρακόσα	t r a k ò s a
τρακόσιες	t r a k ò s i/j e s
τραπεζαρίες	t r a p e z a r ì e s
τραπεζης	t r a p e z i s
τραπεζιτης	t r a p e z i t i s
τραυματα	t r a v m a t a
τραυματικη	t r a v m a t i c i
τρεις-	t r i s -
τρεισιμιση	t r i s i m i s i
τρελαθείς	t r e l a θ ì s
τρελλάνουν	t r e l à n u n
τρελους	t r e l u s
τρεξιματα	t r e k s i m a t a
τρεχεις	t r e ç i s
τρι-	t r i -
τριαδα	t r i/j a ð a
τριακοσια	t r i/j a k o s i/j a
τριαντάρης	t r i/j a d à r i s
τριαντα	t r i/j a d a
τριανταδυο	t r i/j a d a ð i o
τριανταρης	t r i/j a d a r i s
τριαντατριω	t r i/j a d a t r i/j o
τρικυμια	t r i c i m i/j a
τρισευτυχισμενος	t r i s e f t i ç i z m e n o s
τριτου	t r i t u
τριωροφο	t r i o r o f o
τροκητο	t r o c i t o
τρομο	t r o m o
τρουντό	t r u d ò
τροχονομος	t r o x o n o m o s
τρούντο	t r ù d o
τρωγαν	t r o ɣ a n
τρόκι	t r ò c i
τρώγαν	t r ò ɣ a n
τσέκαρα	t s è k a r a
τσαγκάρηδες	t s a g à r i ð e s
τσακμακόπετρες	t s a k m a k ò p e t r e s
τσακωθούνε	t s a k o θ ù n e
τσακωνομασταν	t s a k o n o m a s t a n
τσαμπαένα	t s a b a è n a
τσαντα	t s a d a
τσαρεμ	t s a r e m
τσατας	t s a t a s
τσατσουμιας	t s a t s u m i/j a s
τσιγαρο	t s i ɣ a r o
τσικάλι	t s i k à l i
τσιμεντενια	t s i m e d e ɲ a
τσοπανοςειναι	t s o p a n o i n e
τυ-	t i -
τυπογράφος	t i p o ɣ r à f o s
τυπωνόταν	t i p o n ò t a n
τυραννιέμαι	t i r a n n ç è m e
τυροτο	t i r o t o
τυχεροι	t i ç e r i
των-	t o n -
των…	t o n …
τωραμας	t o r a m a s
τωρατο	t o r a t o
τωραη	t o r a i
τόρνους	t ò r n u s
τόσα…	t ò s a …
τότ	t ò t
τότ'ακόμα	t ò t ' a k ò m a
τότε-αυτά	t ò t e - a f t à
τόφελ	t ò f e l
τώρακάπου	t ò r a k à p u
ταγόρια	t a ɣ ò r i/j a
ταυτοκίνητα	t a f t o c ì n i t a
υ-	i -
υδροηλεκτρικα	i ð r o i l e k t r i k a
υπ-	i p -
υπέβαλλα	i p è v a l a
υπή	i p ì
υπή-	i p ì -
υπήρξανε	i p ì r k s a n e
υπήρχανε…γινόντουσαν	i p ì r x a n e … ʝ i n ò d u s a n
υπήρχε…ξαδέρφια	i p ì r ç e … k s a ð è r f i/j a
υπαγορεύω	i p a ɣ o r è v o
υπαλληλεια	i p a l i l i a
υπαλληλων	i p a l i l o n
υπεβαλλα	i p e v a l a
υπεραρκετά	i p e r a r c e t à
υπερετήσει	i p e r e t ì s i
υπερηφανοι	i p e r i f a n i
υπερκινητική	i p e r c i n i t i c ì
υπεροχα	i p e r o x a
υπερπόντιας	i p e r p ò d i/j a s
υπερωκεάνια	i p e r o c e à ɲ a
υπερωκυανιαένα	i p e r o c i a ɲ a è n a
υπευθυν	i p e f θ i n
υπευθυνους	i p e f θ i n u s
υπηρεσιας	i p i r e s i/j a s
υπηρετησα	i p i r e t i s a
υπηρετούσα	i p i r e t ù s a
υπηρετω	i p i r e t o
υπηρχεη	i p i r ç e i
υποβίβασε	i p o v ì v a s e
υποβιβαστει	i p o v i v a s t i
υπογειοναι	i p o ʝ i o n e
υπογραψε	i p o ɣ r a p s e
υποδεικνύαν	i p o ð i k n ì a n
υποδεχτούνε	i p o ð e x t ù n e
υποθέντω-	i p o θ è d o -
υπολογίζαν	i p o l o ʝ ì z a n
υπολογίζανε	i p o l o ʝ ì z a n e
υπολογιστού	i p o l o ʝ i s t ù
υπορεγεία	i p o r e ʝ ì a
υποστηρίζνε	i p o s t i r ì z n e
υποστηριξε	i p o s t i r i k s e
υποσχεση	i p o s ç e s i
υποτίθ-	i p o t ì θ -
υποτίθ…	i p o t ì θ …
υποτιμουσε	i p o t i m u s e
υπουργεί	i p u r ʝ ì
υπουργους	i p u r ɣ u s
υποφέρανε	i p o f è r a n e
υποφερουνε	i p o f e r u n e
υποχρεωτικο	i p o x r e o t i k o
υποψην	i p o p s i n
υπόγραφα	i p ò ɣ r a f a
υπόγραφτο	i p ò ɣ r a f t o
υστερομαστε	i s t e r o m a s t e
υψομετρο0	i p s o m e t r o 0
φάνηκε…φάρμες	f à n i c e … f à r m e s
φά	f à
φέρει…	f è r i s …
φέρναν	f è r n a n
φέρουμε…	f è r u m e …
φέρουνε	f è r u n e
φέτο	f è t o
φί	f ì
φίλοιξέραν	f ì l i k s è r a n
φαε	f a e
φαινεσαι	f e n e s e
φακή	f a c ì
φακη	f a c i
φαμε	f a m e
φανήκαν	f a n ì k a n
φανταστειτε	f a d a s t i t e
φανταστικο	f a d a s t i k o
φαρμακειο	f a r m a c i o
φασάσι	f a s à s i
φασαρια	f a s a r i/j a
φασαριες	f a s a r i/j e s
φαστφουντάδικο	f a s t f u d à ð i k o
φασφουταδικο	f a s f u t a ð i k o
φατ	f a t
φεβρου	f e v r u
φεβρουαριος	f e v r u a r i/j o s
φερ'το	f e r ' t o
φεραμε	f e r a m e
φερετε	f e r e t e
φερθήκανε	f e r θ ì k a n e
φεριμπότ	f e r i b ò t
φερμένοι	f e r m è n i
φερμουαρι	f e r m u a r i
φερναν	f e r n a n
φερνουνε	f e r n u n e
φεροντανε	f e r o d a n e
φερόντουσαν	f e r ò d u s a n
φεστιβαλκαταφεραηταν	f e s t i v a l k a t a f e r a i t a n
φευγαμε	f e v ɣ a m e
φευγανελεγανε	f e v ɣ a n e l e ɣ a n e
φευγουνε	f e v ɣ u n e
φεύγοντα	f è v ɣ o d a
φεύγουνε-	f è v ɣ u n e -
φημιζότανε	f i m i z ò t a n e
φημισμένους	f i m i z m è n u s
φθ-	f θ -
φθηνοτερα	f θ i n o t e r a
φιδι	f i ð i
φιλάσθενοι	f i l à s θ e n i
φιλαλήθεις	f i l a l ì θ i s
φιλελευθέρους	f i l e l e f θ è r u s
φιλες	f i l e s
φιλητο	f i l i t o
φιλικοι	f i l i c i
φιλιπς	f i l i p s
φιλισυχος	f i l i s i x o s
φιλοιηταν	f i l i i t a n
φιλολογιας	f i l o l o ʝ a s
φιλοξενήσανε	f i l o k s e n ì s a n e
φιλοξενησαμε	f i l o k s e n i s a m e
φιλόπτωχου	f i l ò p t o x u
φιρμες	f i r m e s
φιτουρες	f i t u r e s
φλατς	f l a t s
φλιτραρετε	f l i t r a r e t e
φοβηθηκα	f o v i θ i k a
φοβογιατι	f o v o ʝ a t i
φοβομουν	f o v o m u n
φοβότανε	f o v ò t a n e
φοιτήσω	f i t ì s o
φοιτητ-	f i t i t -
φοιτητας	f i t i t a s
φοιτητικε	f i t i t i c e
φοιτητριαη	f i t i t r i/j a i
φοράγανε	f o r à ɣ a n e
φορέσ	f o r è s
φοραγα	f o r a ɣ a
φοραγανε	f o r a ɣ a n e
φορανε	f o r a n e
φορεματακι	f o r e m a t a c i
φορεςο	f o r e s o
φορεσανε	f o r e s a n e
φορεσω	f o r e s o
φορολογικαμε	f o r o l o ʝ i k a m e
φορουσα	f o r u s a
φορτωνουν	f o r t o n u n
φορτωσει	f o r t o s i
φουλμε	f u l m e
φουρνιες	f u r ɲ e s
φουσκα	f u s k a
φουσκωμα	f u s k o m a
φουστα	f u s t a
φραγουν	f r a ɣ u n
φρανγκο	f r a ŋ g o
φραντζίσκο	f r a d z ì s k o
φραντζολίτσα	f r a d z o l ì t s a
φρασ	f r a s
φρασεις	f r a s i s
φρειδε-	f r i ð e -
φρειδε…	f r i ð e …
φρερ	f r e r
φρεσκα	f r e s k a
φρεσκοβαμενα	f r e s k o v a m e n a
φροντίζουνε	f r o d ì z u n e
φροντίσανε	f r o d ì s a n e
φροντιδα	f r o d i ð a
φροντισανε	f r o d i s a n e
φρουτα	f r u t a
φτάνανε	f t à n a n e
φτάσαμεν	f t à s a m e n
φταναν	f t a n a n
φταξαμε	f t a k s a m e
φτασαν	f t a s a n
φτασεις	f t a s i s
φτασω	f t a s o
φτι-	f t i -
φτιάχνανε	f t ç à x n a n e
φτια-	f t i/j a -
φτιαναν	f t i/j a n a n
φτιαξαμε	f t i/j a k s a m e
φτιαχνανε	f t i/j a x n a n e
φτο	f t o
φτωχα	f t o x a
φτωχεια	f t o ç i a
φτώχευση	f t ò ç e f s i
φυγουμεδεν	f i ɣ u m e ð e n
φυγουνετους	f i ɣ u n e t u s
φυγωμας	f i ɣ o m a s
φυλάγανε	f i l à ɣ a n e
φυλαγόμουνα	f i l a ɣ ò m u n a
φυλαξω	f i l a k s o
φυλες	f i l e s
φυσικομαθηματικος	f i s i k o m a θ i m a t i k o s
φυτεύεις	f i t è v i s
φχαριστημένη	f x a r i s t i m è n i
φωνάξετε	f o n à k s e t e
φωνα-	f o n a -
φωναζαν	f o n a z a n
φωναζει	f o n a z i
φωναξαν	f o n a k s a n
φωνεςοχι	f o n e s o ç i
φωτογραφείο	f o t o ɣ r a f ì o
φωτογραφιανα	f o t o ɣ r a f i/j a n a
φόβισε	f ò v i s e
φύγαμ'	f ì ɣ a m '
φύγαμε…	f ì ɣ a m e …
φύγαντο	f ì ɣ a d o
φύγομε	f ì ɣ o m e
φύγωκαι	f ì ɣ o c e
φύλαγα	f ì l a ɣ a
χάναν	x à n a n
χάσαν	x à s a n
χάσανε-	x à s a n e -
χάσιμο…	x à s i m o s …
χέϊκον	ç è i k o n
χίλια…	ç ì ʎ a …
χαβαης	x a v a i s
χαζεύα	x a z è v a
χαθηκαμε	x a θ i k a m e
χαθω	x a θ o
χαιρέταγε	ç e r è t a ʝ e
χαιρετήσαμε	ç e r e t ì s a m e
χαιρετησε	ç e r e t i s e
χαιρετούσε	ç e r e t ù s e
χαλάγανε	x a l à ɣ a n e
χαλάσαμ'όμως	x a l à s a m ' ò m o s
χαλαγε	x a l a ʝ e
χαλασει	x a l a s i
χαλασουμε	x a l a s u m e
χαλιφάξ	x a l i f à k s
χαμου	x a m u
χαμπερ	x a b e r
χαμω	x a m o
χαμωνα	x a m o n a
χανεις	x a n i s
χανια	x a ɲ a
χανοντουσαν	x a n o d u s a n
χαους	x a u s
χαρίσανε	x a r ì s a n e
χαραξε	x a r a k s e
χαριν	x a r i n
χαρουμενος	x a r u m e n o s
χαρτιαγια	x a r t i/j a ʝ a
χαρτιου	x a r t i/j u
χασαμε	x a s a m e
χατζοπουλος	x a t z o p u l o s
χατηρι	x a t i r i
χατσοχοπ	x a t s o x o p
χαιςαν	ç e a n
χεβιντο	ç e v i d o
χειμωνατο	ç i m o n a t o
χειμώνηδες	ç i m ò n i ð e s
